"property_type","size_sqft","parking","elevator","floor","price_bdt","service_charge_bdt","year_built","building_registration_type","preferred_tenant","furnished","garage_size_sqft","front_road_size_ft","common_area_size_sqft","bedrooms","bathrooms","location","country"
"Commercial Space","1710","1","3","15","153900",NA,2010,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","60","250",NA,NA,"Banani","Bangladesh"
"Commercial Space","2800","1","2","3","150000","12000",2002,"Residential","Corporate Office or MNC Office","Un-Furnished","120","30","220",NA,NA,"Gulshan","Bangladesh"
"Commercial Space","3460",NA,"1","2 & 3","180000",NA,1995,"Commercial","Corporate Office or MNC Office","Un-Furnished",NA,"60","250",NA,NA,"Banani","Bangladesh"
"Residential Apartment","3000","2","1","2","250000","20000",2015,"Residential","Foreigner","Semi-Furnished","240","16","250","4","4","Baridhara Diplomatic Zone","Bangladesh"
"Residential Apartment","4200","2","2","12 & 13","250000","12000",2018,"Residential","Foreigner","Semi-Furnished","240","16","350","4","4","Baridhara Diplomatic Zone","Bangladesh"
"Residential Apartment","4000","2","2","4","240000","20000",2015,"Residential","Foreigner","Semi-Furnished","240","16","350","4","4","Baridhara Diplomatic Zone","Bangladesh"
"Commercial Space","20000","8","1","1, 2, 3, 4 & 5","1800000",NA,2015,"Residential","Corporate Office or MNC Office","Un-Furnished","120","30","250",NA,NA,"Gulshan","Bangladesh"
"Commercial Space","5059","3","3","9 & 10","910620","101180",2015,"Commercial","Corporate Office or MNC Office","Un-Furnished","360","60","450",NA,NA,"Banani","Bangladesh"
"Commercial Space","950","1","2","3","152000","9500",2015,"Commercial","Corporate Office or MNC Office","Semi-Furnished","120","50","120",NA,NA,"Banani","Bangladesh"
"Commercial Space","9500",NA,"3","9","950000","95000",2010,"Commercial","Corporate Office or MNC Office","Un-Furnished",NA,"60","680",NA,NA,"Gulshan","Bangladesh"
"Residential Apartment","3500","3","2","5","230000","25000",2020,"Residential","Foreigner","Un-Furnished","360","24","220","4","4","Gulshan","Bangladesh"
"Residential Apartment","2200","1","2","6","180000","8000",2021,"Residential","Foreigner","Furnished","120","16","180","3","3","Baridhara Diplomatic Zone","Bangladesh"
"Commercial Space","3400","1","2","1","850000","30000",2010,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","50","250",NA,NA,"Banani","Bangladesh"
"Commercial Space","3600",NA,"2","5","500000",NA,2006,"Commercial","Corporate Office or MNC Office","Un-Furnished",NA,"60","250",NA,NA,"Gulshan","Bangladesh"
"Commercial Space","7400","2","4","7","1036000","50000",2012,"Commercial","Corporate Office or MNC Office","Furnished","240","60","550",NA,NA,"Banani","Bangladesh"
"Residential Apartment","4500","2","2","4","270000","25000",2015,"Residential","Foreigner","Semi-Furnished","240","24","350","4","4","Gulshan","Bangladesh"
"Commercial Space","9000","2","5","17","1800000","90000",2014,"Commercial","Corporate Office or MNC Office","Un-Furnished","240","60","550",NA,NA,"Banani","Bangladesh"
"Commercial Space","5500",NA,"2","1","1375000","15000",1994,"Commercial","Corporate Office or MNC Office","Un-Furnished",NA,"60","450",NA,NA,"Banani","Bangladesh"
"Commercial Space","14000","2","3","9","2380000","210000",2018,"Commercial","Corporate Office or MNC Office","Un-Furnished","240","60","1050",NA,NA,"Gulshan","Bangladesh"
"Residential Apartment","2000","1","1","12 & 13","130000","7000",2018,"Residential","Foreigner","Furnished","120","24","250","1","2","Baridhara Diplomatic Zone","Bangladesh"
"Residential Apartment","3400","2","2","7","215000","15000",2010,"Residential","Foreigner","Furnished","240","24","220","4","4","Baridhara Diplomatic Zone","Bangladesh"
"Residential Apartment","3300","2","1","1","530000","20000",2022,"Residential","Foreigner","Furnished","240","16","300","4","4","Baridhara Diplomatic Zone","Bangladesh"
"Residential Apartment","2200","1","1","5","135000","10000",2018,"Residential","Foreigner","Furnished","120","24","180","3","3","Baridhara Diplomatic Zone","Bangladesh"
"Residential Apartment","3300","2","1","9","500000","20000",2020,"Residential","Foreigner","Furnished","240","16","300","4","4","Baridhara Diplomatic Zone","Bangladesh"
"Residential Apartment","3400","1",NA,NA,"260000","25000",2015,"Residential","Foreigner","Semi-Furnished","120","20","550","4","5","Baridhara Diplomatic Zone","Bangladesh"
"Residential Apartment","2700","1","1","1","110000","6000",2002,"Residential","Foreigner","Un-Furnished","120","24","220","3","3","Gulshan","Bangladesh"
"Residential Apartment","2200","1","1","8","150000","10000",2020,"Residential","Foreigner","Furnished","120","16","180","3","3","Gulshan","Bangladesh"
